Protocol,Method,Epoch,EpochTime,CumulativeTime,Recall,NDCG
Full Data,IM-Net (Proactive),1,25.97051226720214,25.97051226720214,0.048813233480123945,0.03713542542315266
Full Data,IM-Net (Proactive),2,24.739007625728846,50.709519892930984,0.04889074847265901,0.03710364515953846
Full Data,IM-Net (Proactive),3,24.988496330566704,75.69801622349769,0.04899798856409365,0.03721105828659405
Full Data,IM-Net (Proactive),4,24.682125367224216,100.3801415907219,0.04928144414000034,0.037297491973812984
Full Data,IM-Net (Proactive),5,24.07674186397344,124.45688345469534,0.05007378726021629,0.03767495583244627
Full Data,IM-Net (Proactive),6,24.84916058089584,149.30604403559119,0.05120271994648721,0.038292491352653675
Full Data,IM-Net (Proactive),7,24.184236525557935,173.49028056114912,0.05233402162966596,0.039014106204146005
Full Data,IM-Net (Proactive),8,25.152431529015303,198.64271209016442,0.053407648769124724,0.0396726257197545
Full Data,IM-Net (Proactive),9,24.71718963049352,223.35990172065794,0.0539465992707514,0.04006519772267569
Full Data,IM-Net (Proactive),10,24.255429460667074,247.61533118132502,0.05434380227834821,0.040409155707722
Full Data,IM-Net (Proactive),11,24.42662437353283,272.04195555485785,0.05530002212043867,0.040950316497047
Full Data,IM-Net (Proactive),12,24.552187345921993,296.59414290077984,0.055751136429957264,0.04123066979119058
Full Data,IM-Net (Proactive),13,24.59385763294995,321.1880005337298,0.056073636651890676,0.04152220408052656
Full Data,IM-Net (Proactive),14,24.441261341795325,345.6292618755251,0.05665458300916475,0.04181934382629241
Full Data,IM-Net (Proactive),15,25.210365250706673,370.8396271262318,0.05706798914942121,0.042030661058496
Full Data,IM-Net (Proactive),16,24.827878998592496,395.6675061248243,0.05791188934283103,0.042510986389339825
Full Data,IM-Net (Proactive),17,24.69555212929845,420.36305825412273,0.05806298761465754,0.042630638492335365
Full Data,IM-Net (Proactive),18,24.162425260059536,444.52548351418227,0.05860934545650127,0.0428713000364261
Full Data,IM-Net (Proactive),19,24.112556382082403,468.6380398962647,0.05901449723207524,0.04319273716838449
Full Data,IM-Net (Proactive),20,24.574198868125677,493.21223876439035,0.05952029026967997,0.043533328273315845
Full Data,IM-Net (Proactive),21,25.076939485035837,518.2891782494262,0.0598903247203329,0.043713287975030164
Full Data,IM-Net (Proactive),22,24.421723720617592,542.7109019700438,0.06028621145843128,0.043890507048564086
Full Data,IM-Net (Proactive),23,25.678008540533483,568.3889105105773,0.06074383966249086,0.044225267634278316
Full Data,IM-Net (Proactive),24,24.59465492889285,592.9835654394701,0.06124839496527113,0.04454115940629067
Full Data,IM-Net (Proactive),25,24.713480757549405,617.6970461970195,0.061609078913077514,0.04476205812449807
Full Data,IM-Net (Proactive),26,24.215599728748202,641.9126459257677,0.062116092742473795,0.0451538204568357
Full Data,IM-Net (Proactive),27,24.65980936679989,666.5724552925676,0.06248375719818014,0.045350144579739446
Full Data,IM-Net (Proactive),28,24.55050174612552,691.1229570386931,0.06276050654822361,0.04555032729294234
Full Data,IM-Net (Proactive),29,25.25007126107812,716.3730282997712,0.06337345380452393,0.04593745300912671
Full Data,IM-Net (Proactive),30,24.265367534942925,740.6383958347142,0.06376523087213365,0.046200389004719455
Full Data,IM-Net (Proactive),31,24.634125241078436,765.2725210757926,0.06398373060923393,0.046363941078032295
Full Data,IM-Net (Proactive),32,25.03156063426286,790.3040817100555,0.06409616217207834,0.04653814983259847
Full Data,IM-Net (Proactive),33,24.10539849381894,814.4094802038744,0.06478256855825243,0.046936235099383716
Full Data,IM-Net (Proactive),34,25.01575890276581,839.4252391066402,0.0650877869903729,0.047237742999534205
Full Data,IM-Net (Proactive),35,24.35097107477486,863.7762101814151,0.06554888570603723,0.0475151689169418
Full Data,IM-Net (Proactive),36,25.01617464143783,888.7923848228529,0.06566497594226545,0.04763123620017411
Full Data,IM-Net (Proactive),37,24.49399035703391,913.2863751798868,0.06590380744117867,0.04778529645972107
Full Data,IM-Net (Proactive),38,24.123639374040067,937.4100145539269,0.06627811756599906,0.048088887257389
Full Data,IM-Net (Proactive),39,24.539901802316308,961.9499163562432,0.06648165253955678,0.0482762767363593
Full Data,IM-Net (Proactive),40,24.496918572112918,986.4468349283561,0.0673641957154913,0.048638864257069286
Full Data,IM-Net (Proactive),41,24.692262689583004,1011.1390976179391,0.0672956662935987,0.04882310076415563
Full Data,IM-Net (Proactive),42,24.46383101399988,1035.602928631939,0.06733181449843995,0.0488592401377177
Full Data,IM-Net (Proactive),43,24.780355444177985,1060.383284076117,0.06760668482398674,0.04911497569384379
Full Data,IM-Net (Proactive),44,24.6336380392313,1085.0169221153483,0.06799385131245936,0.049340007849482295
Full Data,IM-Net (Proactive),45,24.76180304493755,1109.7787251602858,0.06802311155868151,0.04944660614201205
Full Data,IM-Net (Proactive),46,25.02750299591571,1134.8062281562015,0.0683349641127219,0.04966803000390334
Full Data,IM-Net (Proactive),47,25.596904062666,1160.4031322188675,0.06859391492986544,0.049909634154334755
Full Data,IM-Net (Proactive),48,24.63364075589925,1185.0367729747668,0.06900313784414593,0.050080545127324766
Full Data,IM-Net (Proactive),49,24.394592461176217,1209.431365435943,0.06911725677144477,0.050239018955002365
Full Data,IM-Net (Proactive),50,25.167177167721093,1234.598542603664,0.06947031065438589,0.05039257928542448
Full Data,IM-Net (Proactive),51,25.199739390984178,1259.7982819946483,0.06968448810429619,0.05051241424194092
Full Data,IM-Net (Proactive),52,24.599199425429106,1284.3974814200774,0.06957042184289873,0.05045599736046146
Full Data,IM-Net (Proactive),53,24.89632025267929,1309.2938016727567,0.06998436294451911,0.050680294038790444
Full Data,IM-Net (Proactive),54,25.318977494724095,1334.6127791674808,0.070169884927513,0.050754281129063564
Full Data,IM-Net (Proactive),55,24.50519941933453,1359.1179785868153,0.0702390158456449,0.05095060146359674
Full Data,IM-Net (Proactive),56,24.236281361430883,1383.3542599482462,0.07037962231847458,0.051102241612872704
Full Data,IM-Net (Proactive),57,24.868784932419658,1408.2230448806658,0.07098354862497144,0.05149306541462831
Full Data,IM-Net (Proactive),58,25.681450307369232,1433.904495188035,0.07127231307371991,0.05168764935146998
Full Data,IM-Net (Proactive),59,24.893568681553006,1458.798063869588,0.07121946217847298,0.05178899758809591
Full Data,IM-Net (Proactive),60,25.698452697135508,1484.4965165667236,0.07127128493520596,0.05187159412986013
Full Data,IM-Net (Proactive),61,24.778218507766724,1509.2747350744903,0.07154360574878998,0.052109619046484965
Full Data,IM-Net (Proactive),62,24.47342912759632,1533.7481642020866,0.07187179808750624,0.052349061278618006
Full Data,IM-Net (Proactive),63,24.76058774907142,1558.508751951158,0.0722413656071337,0.052412823429331575
Full Data,IM-Net (Proactive),64,24.73528731893748,1583.2440392700955,0.07225152350607313,0.05253893437645593
Full Data,IM-Net (Proactive),65,24.200197762809694,1607.4442370329052,0.07252936406766565,0.052689059200114435
Full Data,IM-Net (Proactive),66,24.392168565653265,1631.8364055985585,0.07261786624634028,0.052713096890395404
Full Data,IM-Net (Proactive),67,24.45658763870597,1656.2929932372645,0.07262653395106403,0.052623931609897506
Full Data,IM-Net (Proactive),68,24.51846460904926,1680.8114578463137,0.0726394194734223,0.05280110774300716
Full Data,IM-Net (Proactive),69,24.55375648383051,1705.3652143301442,0.07235581212741794,0.0527999085086878
Full Data,IM-Net (Proactive),70,24.453168446198106,1729.8183827763423,0.07276174915295236,0.05304097552270986
Full Data,IM-Net (Proactive),71,24.58011430129409,1754.3984970776364,0.07301539985410818,0.05319762128636276
Full Data,IM-Net (Proactive),72,24.604486442171037,1779.0029835198075,0.07292018386838904,0.053151532290008165
Full Data,IM-Net (Proactive),73,24.599977063015103,1803.6029605828226,0.07279247012912135,0.0531043304998962
Full Data,IM-Net (Proactive),74,23.964325666427612,1827.5672862492502,0.073225840229244,0.0533025085109331
Full Data,IM-Net (Proactive),75,23.959253541193902,1851.526539790444,0.0736007594283094,0.053524326241377825
Full Data,IM-Net (Proactive),76,24.196673184633255,1875.7232129750773,0.07377332986983964,0.0534997741454221
Full Data,IM-Net (Proactive),77,24.919406244531274,1900.6426192196086,0.07356389969573855,0.05345255305176437
Full Data,IM-Net (Proactive),78,25.23029741924256,1925.8729166388512,0.07356375671181026,0.05354223001100655
Full Data,IM-Net (Proactive),79,25.509959775954485,1951.3828764148057,0.07403624699869028,0.05378507613911974
Full Data,IM-Net (Proactive),80,24.780550181865692,1976.1634265966713,0.07405967998013124,0.05392349168498182
Full Data,IM-Net (Proactive),81,24.273840962909162,2000.4372675595805,0.07420376425547807,0.05404251280746267
Full Data,IM-Net (Proactive),82,24.86445084773004,2025.3017184073105,0.07434094732763785,0.05411028968479841
Full Data,IM-Net (Proactive),83,24.571789869107306,2049.873508276418,0.07419435273724093,0.054046801694705104
Full Data,IM-Net (Proactive),84,25.05714643932879,2074.9306547157466,0.07432563684433494,0.053979500649006536
Full Data,IM-Net (Proactive),85,25.16831126064062,2100.0989659763873,0.07450281593375956,0.05418158003663061
